"ID";"Counts";"Category"
"F:GO:0003674";642;"Molecular Function"
"C:GO:0005737";453;"Cellular Component"
"C:GO:0070062";447;"Cellular Component"
"C:GO:0016020";322;"Cellular Component"
"C:GO:0005634";311;"Cellular Component"
"C:GO:0005615";306;"Cellular Component"
"F:GO:0043167";269;"Molecular Function"
"C:GO:0005886";251;"Cellular Component"
"F:GO:0005515";230;"Molecular Function"
"C:GO:0005622";229;"Cellular Component"
"C:GO:0043234";226;"Cellular Component"
"C:GO:0005829";214;"Cellular Component"
"C:GO:0005856";208;"Cellular Component"
"C:GO:0005576";203;"Cellular Component"
"P:GO:0007165";190;"Biological Process"
"P:GO:0006810";148;"Biological Process"
"C:GO:0016021";136;"Cellular Component"
"C:GO:0005575";129;"Cellular Component"
"F:GO:0046872";121;"Molecular Function"
"F:GO:0005198";119;"Molecular Function"
"C:GO:0005654";119;"Cellular Component"
"P:GO:0034641";116;"Biological Process"
"P:GO:0009058";116;"Biological Process"
"P:GO:0006464";115;"Biological Process"
"F:GO:0000166";115;"Molecular Function"
"F:GO:0044822";114;"Molecular Function"
"F:GO:0016491";106;"Molecular Function"
"C:GO:0043226";106;"Cellular Component"
"F:GO:0003677";105;"Molecular Function"
"P:GO:0044281";88;"Biological Process"
"P:GO:0006950";87;"Biological Process"
"F:GO:0016301";87;"Molecular Function"
"F:GO:0008233";87;"Molecular Function"
"F:GO:0008092";87;"Molecular Function"
"F:GO:0005524";86;"Molecular Function"
"C:GO:0005925";86;"Cellular Component"
"F:GO:0030234";85;"Molecular Function"
"P:GO:0007155";83;"Biological Process"
"P:GO:0002376";82;"Biological Process"
"F:GO:0005509";77;"Molecular Function"
"F:GO:0004871";75;"Molecular Function"
"C:GO:0005783";75;"Cellular Component"
"C:GO:0005794";70;"Cellular Component"
"C:GO:0005739";69;"Cellular Component"
"P:GO:0009056";67;"Biological Process"
"F:GO:0016787";67;"Molecular Function"
"P:GO:0007010";66;"Biological Process"
"C:GO:0005578";62;"Cellular Component"
